democrat				republican			
Token	LL	F	F2	Token	LL	F	F2
south	542.83	0.96	11.02	south	542.83	11.02	0.96
oregon	495.16	6.82	0.1	oregon	495.16	0.1	6.82
dakota	460.76	0.13	6.93	dakota	460.76	6.93	0.13
connecticut	455.98	5.94	0.03	connecticut	455.98	0.03	5.94
idaho	439.79	0.02	6.01	idaho	439.79	6.01	0.02
texas	401.66	0.52	7.56	texas	401.66	7.56	0.52
colorado	401.59	5.63	0.1	colorado	401.59	0.1	5.63
wisconsin	395.69	5.28	0.05	wisconsin	395.69	0.05	5.28
georgia	392.35	0.27	6.56	georgia	392.35	6.56	0.27
kansas	389.32	6.32	0.3	kansas	389.32	0.3	6.32
minnesotans	358.65	4.46	0.0	minnesotans	358.65	0.0	4.46
nebraska	357.15	0.06	5.14	nebraska	357.15	5.14	0.06
rhode	350.32	4.61	0.03	rhode	350.32	0.03	4.61
nevada	350.28	4.8	0.07	nevada	350.28	0.07	4.8
minnesota	348.81	5.11	0.13	minnesota	348.81	0.13	5.11
delaware	347.25	4.76	0.07	delaware	347.25	0.07	4.76
mississippi	344.56	0.12	5.25	mississippi	344.56	5.25	0.12
missouri	339.41	0.15	5.35	missouri	339.41	5.35	0.15
great	331.71	14.66	30.98	great	331.71	30.98	14.66
mexico	327.73	7.07	0.81	mexico	327.73	0.81	7.07
illinois	322.81	4.26	0.03	illinois	322.81	0.03	4.26
oklahoma	316.2	0.1	4.78	oklahoma	316.2	4.78	0.1
alaska	310.9	0.15	4.96	alaska	310.9	4.96	0.15
pennsylvania	305.93	4.15	0.05	pennsylvania	305.93	0.05	4.15
arizona	297.01	0.29	5.27	arizona	297.01	5.27	0.29
kemp	292.29	0.0	3.89	kemp	292.29	3.89	0.0
arkansas	289.44	0.12	4.5	arkansas	289.44	4.5	0.12
ricketts	287.05	0.02	3.97	ricketts	287.05	3.97	0.02
kentucky	286.94	0.19	4.78	kentucky	286.94	4.78	0.19
nj	284.69	4.13	0.1	nj	284.69	0.1	4.13
montana	281.84	4.01	0.08	montana	281.84	0.08	4.01
virginia	281.0	4.8	0.28	virginia	281.0	0.28	4.8
wear	276.22	10.74	2.87	wear	276.22	2.87	10.74
utah	271.04	0.08	4.07	utah	271.04	4.07	0.08
wyoming	270.76	0.06	3.97	wyoming	270.76	3.97	0.06
tennessee	267.42	0.08	4.02	tennessee	267.42	4.02	0.08
alabama	266.15	0.29	4.83	alabama	266.15	4.83	0.29
doug	264.95	0.04	3.79	doug	264.95	3.79	0.04
democratic	259.06	5.03	0.44	democratic	259.06	0.44	5.03
alaskans	240.27	0.0	3.2	alaskans	240.27	3.2	0.0
mike	240.03	1.06	6.51	mike	240.03	6.51	1.06
hutchinson	236.88	0.04	3.41	hutchinson	236.88	3.41	0.04
parson	234.19	0.02	3.26	parson	234.19	3.26	0.02
nd	233.44	0.1	3.64	nd	233.44	3.64	0.1
inslee	233.43	2.9	0.0	inslee	233.43	0.0	2.9
oregonians	231.88	2.88	0.0	oregonians	231.88	0.0	2.88
missourians	224.17	0.0	2.98	missourians	224.17	2.98	0.0
asa	223.48	0.04	3.23	asa	223.48	3.23	0.04
maryland	222.08	0.17	3.79	maryland	222.08	3.79	0.17
york	221.78	4.82	0.56	york	221.78	0.56	4.82
florida	221.33	0.46	4.69	florida	221.33	4.69	0.46
montanans	221.06	2.75	0.0	montanans	221.06	0.0	2.75
maine	219.14	2.96	0.03	maine	219.14	0.03	2.96
mask	216.01	11.58	4.04	mask	216.01	4.04	11.58
burgum	211.78	0.0	2.82	burgum	211.78	2.82	0.0
iowa	211.17	0.79	5.39	iowa	211.17	5.39	0.79
oklahomans	210.54	0.0	2.8	oklahomans	210.54	2.8	0.0
louisiana	209.16	3.71	0.25	louisiana	209.16	0.25	3.71
nevadans	207.15	2.57	0.0	nevadans	207.15	0.0	2.57
change	204.54	8.66	2.5	change	204.54	2.5	8.66
hogan	202.27	0.02	2.83	hogan	202.27	2.83	0.02
democrats	197.18	5.07	0.81	democrats	197.18	0.81	5.07
island	193.68	4.0	0.41	island	193.68	0.41	4.0
hawaii	193.52	2.54	0.02	hawaii	193.52	0.02	2.54
indiana	191.79	0.1	3.06	indiana	191.79	3.06	0.1
polis	190.46	2.5	0.02	polis	190.46	0.02	2.5
bullock	188.93	2.48	0.02	bullock	188.93	0.02	2.48
kansans	185.51	2.31	0.0	kansans	185.51	0.0	2.31
pennsylvanians	185.51	2.31	0.0	pennsylvanians	185.51	0.0	2.31
climate	182.8	4.84	0.81	climate	182.8	0.81	4.84
ralph	182.0	2.57	0.05	ralph	182.0	0.05	2.57
wolf	177.38	2.59	0.07	wolf	177.38	0.07	2.59
washington	176.24	6.82	1.81	washington	176.24	1.81	6.82
dunleavy	174.07	0.02	2.45	dunleavy	174.07	2.45	0.02
ri	173.63	2.38	0.03	ri	173.63	0.03	2.38
noem	173.39	0.0	2.31	noem	173.39	2.31	0.0
arkansas's	173.39	0.0	2.31	arkansas's	173.39	2.31	0.0
mexicans	173.14	2.15	0.0	mexicans	173.14	0.0	2.15
vermont	172.15	0.0	2.29	vermont	172.15	2.29	0.0
nh	170.5	0.1	2.77	nh	170.5	2.77	0.1
ajc.com	169.17	0.02	2.39	ajc.com	169.17	2.39	0.02
myoregon.gov	168.5	2.09	0.0	myoregon.gov	168.5	0.0	2.09
new	168.15	39.42	25.55	new	168.15	25.55	39.42
grateful	166.29	3.57	9.78	grateful	166.29	9.78	3.57
jersey	165.07	3.25	0.3	jersey	165.07	0.3	3.25
thanks	164.96	7.26	15.37	thanks	164.96	15.37	7.26
it's	163.16	22.69	12.65	it's	163.16	12.65	22.69
jay	162.59	2.9	0.2	jay	162.59	0.2	2.9
abbott	161.82	0.02	2.29	abbott	161.82	2.29	0.02
kristi	161.82	0.02	2.29	kristi	161.82	2.29	0.02
oregon's	157.68	1.96	0.0	oregon's	157.68	0.0	1.96
juliana	157.68	1.96	0.0	juliana	157.68	0.0	1.96
provide	156.98	6.3	13.74	provide	156.98	13.74	6.3
not	156.62	24.09	13.89	not	156.62	13.89	24.09
brian	153.92	0.23	3.0	brian	153.92	3.0	0.23
delawareans	153.04	1.9	0.0	delawareans	153.04	0.0	1.9
vermonters	152.34	0.0	2.03	vermonters	152.34	2.03	0.0
georgians	152.34	0.0	2.03	georgians	152.34	2.03	0.0
ohio	151.91	0.15	2.72	ohio	151.91	2.72	0.15
2019	151.09	1.58	5.98	2019	151.09	5.98	1.58
ned	149.95	1.86	0.0	ned	149.95	0.0	1.86
conference	146.57	3.44	9.09	conference	146.57	9.09	3.44
pa	144.91	2.02	0.03	pa	144.91	0.03	2.02
mcmaster	143.67	0.0	1.91	mcmaster	143.67	1.91	0.0
if	143.23	20.44	11.5	if	143.23	11.5	20.44
governor.pa.gov	142.22	1.77	0.0	governor.pa.gov	142.22	0.0	1.77
governor.nd.gov	139.95	0.0	1.86	governor.nd.gov	139.95	1.86	0.0
larry	139.06	0.21	2.72	larry	139.06	2.72	0.21
evers	138.51	1.84	0.02	evers	138.51	0.02	1.84
hawai'i	137.58	1.71	0.0	hawai'i	137.58	0.0	1.71
cuomo	135.92	2.06	0.07	cuomo	135.92	0.07	2.06
delaware's	134.49	1.67	0.0	delaware's	134.49	0.0	1.67
ct.gov/coronavirus	132.95	1.65	0.0	ct.gov/coronavirus	132.95	0.0	1.65
dakota's	132.52	0.0	1.76	dakota's	132.52	1.76	0.0
sc	131.64	0.17	2.49	sc	131.64	2.49	0.17
murphy	126.38	2.0	0.08	murphy	126.38	0.08	2.0
face	123.97	8.95	3.76	face	123.97	3.76	8.95
pete	123.4	0.12	2.17	pete	123.4	2.17	0.12
massachusetts	123.4	0.12	2.17	massachusetts	123.4	2.17	0.12
gun	123.24	2.59	0.28	gun	123.24	0.28	2.59
california	122.84	2.98	0.43	california	122.84	0.43	2.98
idaho's	122.61	0.0	1.63	idaho's	122.61	1.63	0.0
covering	122.28	3.32	0.58	covering	122.28	0.58	3.32
medium.com	122.13	1.52	0.0	medium.com	122.13	0.0	1.52
jared	120.78	1.79	0.05	jared	120.78	0.05	1.79
hampshire	118.8	0.12	2.11	hampshire	118.8	2.11	0.12
god	118.22	0.17	2.29	god	118.22	2.29	0.17
covid	117.93	45.66	32.86	covid	117.93	32.86	45.66
virginians	115.94	1.44	0.0	virginians	115.94	0.0	1.44
florida's	115.39	0.02	1.66	florida's	115.39	1.66	0.02
bit.ly/3bhqu4i	115.18	0.0	1.53	bit.ly/3bhqu4i	115.18	1.53	0.0
pandemic	114.31	13.02	6.75	pandemic	114.31	6.75	13.02
cooper	114.02	2.17	0.18	cooper	114.02	0.18	2.17
workforce	113.6	1.48	5.04	workforce	113.6	5.04	1.48
henry	113.21	0.1	1.96	henry	113.21	1.96	0.1
nm	112.61	1.52	0.02	nm	112.61	0.02	1.52
media	112.35	2.15	6.18	media	112.35	6.18	2.15
appreciate	111.24	1.48	4.99	appreciate	111.24	4.99	1.48
kate	110.34	1.58	0.03	kate	110.34	0.03	1.58
hoosiers	110.23	0.0	1.47	hoosiers	110.23	1.47	0.0
ny.gov	109.76	1.36	0.0	ny.gov	109.76	0.0	1.36
ige	109.76	1.36	0.0	ige	109.76	0.0	1.36
texans	108.99	0.0	1.45	texans	108.99	1.45	0.0
alabamians	108.08	0.02	1.56	alabamians	108.08	1.56	0.02
holcomb	107.75	0.0	1.43	holcomb	107.75	1.43	0.0
county	106.2	7.99	14.5	county	106.2	14.5	7.99
reported	105.44	3.53	0.81	reported	105.44	0.81	3.53
andrew	105.39	2.0	0.16	andrew	105.39	0.16	2.0
lamont	105.12	1.31	0.0	lamont	105.12	0.0	1.31
greg	102.73	0.17	2.06	greg	102.73	2.06	0.17
wisconsinites	102.03	1.27	0.0	wisconsinites	102.03	0.0	1.27
reynolds	101.26	0.04	1.56	reynolds	101.26	1.56	0.04
portal.ct.gov/wallofhonor	100.48	1.25	0.0	portal.ct.gov/wallofhonor	100.48	0.0	1.25
connecticut's	100.48	1.25	0.0	connecticut's	100.48	0.0	1.25
sd	100.32	0.0	1.33	sd	100.32	1.33	0.0
provides	100.26	2.31	6.14	provides	100.26	6.14	2.31
testnebraska.com	99.08	0.0	1.32	testnebraska.com	99.08	1.32	0.0
ducey	97.84	0.0	1.3	ducey	97.84	1.3	0.0
arizonans	97.84	0.0	1.3	arizonans	97.84	1.3	0.0
walz	97.42	1.33	0.02	walz	97.42	0.02	1.33
know	96.93	12.56	6.84	know	96.93	6.84	12.56
livestream.com/govdunleavy/ev	96.6	0.0	1.28	livestream.com/govdunleavy/ev	96.6	1.28	0.0
washingtonians	95.85	1.19	0.0	washingtonians	95.85	0.0	1.19
ny	95.82	1.96	0.2	ny	95.82	0.2	1.96
lgbtq	95.69	1.46	0.05	lgbtq	95.69	0.05	1.46
phase	94.15	6.2	2.47	phase	94.15	2.47	6.2
northam	93.9	1.36	0.03	northam	93.9	0.03	1.36
colorado's	92.75	1.15	0.0	colorado's	92.75	0.0	1.15
ks	92.75	1.15	0.0	ks	92.75	0.0	1.15
gillespie	92.75	1.15	0.0	gillespie	92.75	0.0	1.15
justice	92.46	5.53	2.08	justice	92.46	2.08	5.53
regarding	92.3	1.79	5.11	regarding	92.3	5.11	1.79
wa	92.12	1.48	0.07	wa	92.12	0.07	1.48
