alabama				alaska				arizona				arkansas				california				colorado				connecticut				delaware				florida				georgia				hawaii				idaho				illinois				indiana				iowa				kansas				kentucky				louisiana				maine				maryland				massachusetts				michigan				minnesota				mississippi				missouri				montana				nebraska				nevada				new-hampshire				new-jersey				new-mexico				new-york				north-carolina				north-dakota				ohio				oklahoma				oregon				pennsylvania				rhode-island				south-carolina				south-dakota				tennessee				texas				utah				vermont				virginia				washington				west-virginia				wisconsin				wyoming			
Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2	Token	LL	F	F2
montgomery	219.29	15.11	0.23	ents	582.85	35.57	0.04	azdhs	344.38	18.32	0.0	regarding	774.99	71.87	2.11	office	132.77	51.01	6.91	denver	262.88	13.96	0.01	died	587.62	46.68	1.3	division	203.87	23.67	0.99	pleased	171.57	23.76	1.6	atlanta	604.48	29.42	0.06	honolulu	470.08	26.45	0.01	jeppesen	251.69	14.48	0.0	juliana	793.13	44.15	0.0	livestream	568.95	63.92	0.77	moving	245.71	38.19	2.64	kdhe	118.49	5.75	0.0	grateful	201.21	43.71	6.19	says	729.32	100.73	4.0	lepage	188.77	16.67	0.0	baltimore	512.36	29.67	0.0	commonwealth	390.98	35.67	1.26	detroit	118.62	35.56	0.02	minneapolis	154.33	10.41	0.14	quote	236.61	100.37	32.02	louis	190.3	11.84	0.05	trump	252.88	39.73	5.1	omaha	275.49	17.86	0.04	vegas	308.8	18.02	0.07	click	536.93	52.96	1.56	democratic	223.17	30.42	2.01	totaling	199.81	14.26	0.28	official	300.76	36.67	1.65	task	294.17	34.55	1.92	joint	239.69	21.5	0.99	fran	335.14	24.28	0.03	tulsa	207.33	11.83	0.02	portland	114.89	8.06	0.18	yellow	345.91	24.78	0.18	providence	313.46	20.23	0.02	florence	232.08	15.72	0.13	sioux	246.59	14.94	0.1	great	749.11	149.16	20.74	austin	476.45	25.08	0.12	salt	149.27	10.4	0.05	vters	101.77	5.78	0.0	gillespie	498.72	33.95	0.0	climate	711.56	54.89	1.36	press	378.49	154.64	7.96	folks	287.92	32.65	2.22	jennie	438.58	32.34	0.01
adeca	119.28	5.9	0.0	outbreak	436.7	46.51	1.68	immunization	329.07	17.5	0.0	media	742.8	74.83	2.81	wear	121.44	45.91	6.08	kindergarten	219.91	14.74	0.15	hospitalized	428.2	29.67	0.49	rattay	198.87	11.83	0.0	announce	158.54	28.79	3.14	icymi	260.6	24.25	1.38	hurricane	448.45	42.66	1.32	rebound	245.89	16.75	0.08	springfield	371.68	26.4	0.23	virtual	470.38	65.96	1.81	harvest	238.13	19.35	0.16	wichita	96.38	5.04	0.01	commonwealth	181.09	24.59	1.6	cases	461.01	83.85	6.16	portland	111.18	15.08	0.22	annapolis	126.12	7.3	0.0	today's	269.28	44.98	5.46	biden	37.81	19.4	0.28	mpr	104.61	5.21	0.0	tweet	234.74	101.13	32.6	teresa	148.18	9.8	0.07	dark	150.74	9.76	0.14	gov	271.01	83.67	17.15	las	200.55	17.25	0.53	granite	473.11	28.97	0.04	fairer	220.86	15.44	0.09	i'll	174.5	30.67	4.46	agencies	277.42	35.22	1.75	force	262.89	37.08	3.0	nddoh	182.52	8.53	0.0	columbus	120.8	10.73	0.09	okc	91.89	4.9	0.0	face	66.71	20.83	5.76	masks	231.89	41.01	4.38	let's	156.12	37.01	5.31	charleston	162.91	9.52	0.02	pierre	224.43	11.21	0.0	town	463.39	48.88	2.09	dallas	240.15	12.54	0.05	grateful	87.31	29.31	6.49	essex	71.27	5.33	0.05	ed	488.9	43.57	0.37	change	181.63	32.35	4.67	briefing	375.42	154.64	8.11	secretary-designee	245.68	12.11	0.0	cheyenne	250.41	19.52	0.03
adol	119.28	5.9	0.0	pfd	399.89	23.71	0.01	phoenix	315.1	18.72	0.05	provides	737.68	74.83	2.86	tune	107.67	42.51	5.97	full-day	173.09	10.08	0.04	ct-n	422.8	20.63	0.0	karyl	198.87	11.83	0.0	everglades	149.69	9.14	0.01	choppin	228.39	10.67	0.01	douglas	415.26	26.02	0.09	boise	227.16	13.58	0.01	rauner	326.58	18.18	0.0	hold	380.93	63.24	2.77	taxes	178.69	23.93	1.2	vimeo	89.12	4.68	0.01	foster	163.03	16.85	0.56	mask	262.04	60.56	6.7	bangor	89.89	7.94	0.0	positivity	103.72	12.78	0.67	commonwealth's	246.19	13.96	0.04	joe	37.42	22.63	0.56	bonding	89.98	4.83	0.01	tate	186.12	10.57	0.04	violent	108.46	11.43	0.53	money	132.91	18.47	1.97	assessment	267.81	22.56	0.33	thank	192.77	75.89	22.72	staters	346.07	19.91	0.0	christie	213.52	13.17	0.02	good-paying	136.12	10.7	0.3	daily	257.16	40.04	3.07	ncdhhs	146.72	8.01	0.0	dept	168.2	19.45	1.57	cincinnati	116.31	7.91	0.0	compacts	69.92	4.08	0.01	umatilla	65.42	3.02	0.0	reopening	159.44	32.45	4.26	riers	136.65	8.39	0.0	horry	138.34	7.45	0.0	falls	147.07	13.07	0.47	hall	436.25	45.93	1.96	homeless	222.72	14.85	0.29	moderate	70.23	5.2	0.04	package	67.44	8.89	0.57	doors	239.98	30.56	1.05	seattle	152.36	8.36	0.03	toll-free	306.69	54.77	0.09	palm	192.62	11.74	0.09	treasurer	213.72	21.35	0.23
harris	107.33	8.85	0.26	officials	194.74	39.67	5.14	epidemiology	285.51	17.09	0.05	nathaniel	424.47	24.52	0.03	mask	100.17	44.21	7.13	wildlife	79.52	7.37	0.27	instant	412.75	20.63	0.01	wilmington	182.96	10.89	0.0	orlando	149.02	10.51	0.06	trafficking	214.38	14.55	0.33	maui	317.62	17.49	0.0	rebounds	164.85	9.96	0.01	chicago	264.31	16.88	0.06	against	363.55	72.08	4.69	festival	166.89	17.31	0.42	dcf	84.59	4.68	0.02	louisville	157.32	9.56	0.01	reported	217.11	32.61	1.59	direction	78.95	18.26	1.2	governors	100.74	18.72	2.12	baker-polito	219.12	11.25	0.0	candidates	35.95	29.1	1.49	flanagan	89.67	4.46	0.0	gulf	166.38	12.08	0.21	st	102.6	13.47	1.01	boot	118.46	6.62	0.04	pinkerman	230.29	13.63	0.0	quote	168.39	88.93	32.32	below	202.91	30.78	2.51	democrats	206.81	29.96	2.23	info	123.78	19.61	2.47	fatalities	256.5	21.23	0.25	members	145.13	32.44	5.23	fargo	167.92	7.85	0.0	anna	105.18	8.47	0.04	gaming	63.04	6.12	0.23	covering	59.66	10.41	1.61	pandemic	141.12	42.81	8.98	change	122.21	31.09	4.88	palmetto	122.97	6.62	0.0	rapid	107.14	10.09	0.43	maria	365.7	22.75	0.08	houston	160.86	9.57	0.11	lake	69.69	10.87	0.87	bennington	63.99	4.0	0.01	vote	235.46	61.68	8.49	trudi	148.53	7.27	0.0	preparations	247.44	49.94	0.21	andrea	191.61	11.37	0.07	casper	194.73	14.64	0.01
adeca_pr	104.37	5.16	0.0	responsibly	183.24	18.7	0.6	pre-register	261.84	17.09	0.12	update	345.23	78.63	12.91	response	94.92	52.71	10.92	pueblo	68.71	4.27	0.03	raw	405.44	20.63	0.02	sussex	169.1	10.89	0.02	jacksonville	109.7	7.31	0.03	hardworking	168.03	15.52	0.87	rt	309.68	26.45	0.57	novel	164.25	18.1	0.73	afterwards	170.57	9.95	0.01	fight	334.86	77.52	6.75	moines	121.38	9.67	0.07	kdol	81.46	3.96	0.0	adoption	157.08	13.66	0.25	mandate	212.64	23.29	0.45	medicaid	75.59	16.67	1.0	recovery	96.81	23.74	3.9	sudders	173.79	8.92	0.0	gilchrist	35.39	9.7	0.0	paul	88.6	8.55	0.39	coast	136.6	12.83	0.53	working	101.61	42.46	12.7	president	116.15	31.36	7.44	gage	223.34	14.1	0.02	tweet	167.22	89.69	32.9	relief	173.21	30.32	3.17	guadagno	204.66	11.8	0.0	fe	118.21	5.71	0.0	giving	254.01	33.77	1.87	rc	131.27	7.16	0.0	forks	167.92	7.85	0.0	great	102.33	68.32	22.73	state's	62.19	26.93	8.27	multnomah	58.15	2.69	0.0	pa'ians	125.7	7.21	0.0	cranston	120.57	7.4	0.0	september	122.78	13.24	0.63	rhoden	97.26	4.86	0.0	county	345.62	70.79	10.22	austin's	130.21	5.94	0.0	orange	68.15	6.62	0.16	isle	48.81	3.11	0.01	gillespie's	182.86	12.45	0.0	trump	106.19	26.17	5.48	hotline	240.91	54.77	0.45	milwaukee	186.56	9.9	0.02	laramie	177.71	12.81	0.0
jhons	82.0	4.06	0.0	press	175.11	45.6	8.04	diseases	258.29	17.5	0.15	smith	332.63	27.9	0.58	sacramento	93.52	9.35	0.01	reinsurance	61.66	3.88	0.03	news	367.63	67.3	10.13	livestream	143.75	19.88	1.25	miami	105.37	8.68	0.13	gang	151.58	8.73	0.09	oahu	192.91	11.09	0.01	coronavirus	160.31	49.33	10.46	ended	155.45	14.28	0.38	i'll	321.36	64.6	4.32	des	112.96	9.67	0.11	norman	79.54	5.04	0.05	eastern	120.68	12.75	0.45	rouge	192.49	13.97	0.01	blaine	73.2	8.73	0.07	captioning	87.53	7.76	0.15	administration	172.07	32.18	4.57	lansing	35.39	9.7	0.0	gwen	85.46	4.83	0.02	reeves	129.21	7.92	0.05	hard	90.9	26.54	5.88	helena	87.1	4.88	0.03	watch	221.9	73.8	16.28	reno	165.72	8.43	0.0	concord	143.98	9.05	0.02	chairman	127.04	14.53	0.64	albuquerque	118.21	5.71	0.0	government	247.03	44.87	4.51	cohen	131.27	7.16	0.0	grateful	154.98	32.76	6.23	grandson	98.99	9.6	0.13	sarah	54.35	4.9	0.15	safe	55.52	29.56	11.6	phase	124.05	26.59	3.74	pawtucket	120.57	7.4	0.0	hurricane	120.46	18.62	1.82	aberdeen	82.29	4.11	0.0	august	263.31	25.28	0.83	lone	101.08	4.95	0.01	earthquake	65.02	6.62	0.19	propose	46.59	4.89	0.18	knocking	159.82	18.11	0.43	defeat	90.1	8.36	0.36	holds	236.93	54.77	0.48	barnes	134.01	6.6	0.0	i'll	129.74	35.39	4.66
adph	74.55	3.69	0.0	give	170.75	32.38	3.78	infectious	230.61	16.28	0.18	response	315.55	67.22	10.16	governor	84.18	93.51	33.3	study	59.13	8.14	0.73	updates	360.25	49.57	4.93	schall	135.23	8.05	0.0	miami-dade	94.61	5.48	0.0	gangs	140.06	7.11	0.03	mahalo	170.43	9.39	0.0	office	129.07	35.76	6.8	rights	152.02	24.24	2.33	updates	290.16	64.6	5.25	keep	112.47	51.43	14.0	covid	74.06	74.45	37.87	ceremonially	100.49	7.28	0.05	baton	173.98	13.39	0.03	ags	70.52	7.15	0.02	prince	79.69	5.48	0.03	update	168.82	53.51	13.37	quote	33.49	109.93	33.42	insulin	84.9	5.58	0.06	great	128.96	63.77	22.48	forward	89.27	29.8	7.46	win	86.53	17.07	2.94	provides	213.79	37.6	3.73	detr	143.12	7.28	0.0	guidance	140.18	29.42	4.01	vote	110.83	37.68	8.75	currently	117.39	17.47	2.01	briefing	241.17	55.96	8.03	raleigh	115.83	6.32	0.0	bismarck	153.31	7.17	0.0	county	94.17	43.48	10.98	our	53.82	137.08	88.75	mail	53.0	7.39	0.84	commonwealth	123.27	19.38	1.7	bringing	108.72	19.25	1.79	quote	101.5	76.95	32.68	mitchell	78.9	4.86	0.04	tour	248.69	32.87	2.35	antonio	95.94	5.28	0.04	ksl	63.62	3.78	0.0	levine	45.86	4.0	0.08	richmond	157.15	12.45	0.05	clean	88.25	12.72	1.35	response	203.3	114.37	10.79	widepthealthservices	126.56	6.24	0.0	sheridan	127.82	9.76	0.01
lori	67.58	4.79	0.08	briefing	152.15	42.87	8.24	maryvale	214.28	11.4	0.0	live	289.27	87.09	19.26	update	83.72	56.11	13.84	bill	57.5	19.0	4.92	briefing	335.62	56.81	7.71	dover	134.27	9.47	0.05	hurricane	82.96	15.99	1.91	dismantle	129.47	7.11	0.05	anderson	152.55	11.94	0.18	aarp	124.47	8.15	0.03	democrats	147.36	23.8	2.34	tune	280.29	64.6	5.58	fred	108.99	8.66	0.06	pandemic	66.67	28.05	9.18	pension	98.04	7.28	0.06	number	147.76	31.44	3.05	democratic	69.18	21.44	2.35	dropped	79.17	9.13	0.41	boston	138.63	9.69	0.13	ideas	31.17	22.63	0.91	twin	53.84	3.72	0.05	msema	105.02	5.28	0.0	missourinet	76.59	4.08	0.0	places	79.49	11.15	1.21	streaming	188.86	15.51	0.2	coverings	77.65	11.5	1.18	fund	135.13	22.63	2.2	bergen	102.89	6.36	0.01	statewide	105.11	23.89	4.69	performed	236.31	17.85	0.13	virus	111.06	28.65	5.43	today's	131.62	29.01	5.76	xenia	83.08	5.65	0.0	recover	51.44	7.75	0.74	climate	52.26	11.76	2.42	counties	114.65	23.88	3.24	progress	101.87	22.21	2.84	peggy	100.49	8.27	0.17	knbn	74.81	3.74	0.0	memphis	211.69	12.64	0.03	san	93.19	7.26	0.25	jeanette	58.19	4.25	0.03	stations	44.33	5.78	0.36	elect	121.89	18.11	0.92	overtime	74.9	5.45	0.11	read	187.16	85.37	5.53	mandela	111.67	5.5	0.0	buffalo	106.66	10.37	0.1
office	60.94	23.22	6.98	budget	133.35	26.91	3.44	contain	209.0	17.91	0.45	covid	249.96	117.1	37.09	state's	81.01	42.51	8.32	scientists	49.04	5.04	0.25	latest	323.08	42.7	3.96	aj	114.8	7.57	0.02	tampa	79.89	5.03	0.01	quo	125.86	8.08	0.15	o'ahu	147.19	8.11	0.0	stay-home	117.69	8.15	0.05	so	136.52	55.4	15.54	conference	276.46	64.6	5.71	vote	107.26	39.21	8.79	garcía	66.65	3.24	0.0	bluegrass	88.75	6.83	0.07	july	145.6	35.52	4.26	campaign	68.86	26.99	4.09	wbff	78.82	4.57	0.0	mbta	128.45	6.59	0.0	democrats	31.09	32.33	2.69	mankato	52.31	2.6	0.0	jackson	98.43	9.43	0.41	move	75.84	18.37	3.36	billings	76.73	4.18	0.02	media	170.76	32.9	3.77	phase	74.03	18.78	3.85	view	132.66	20.82	1.81	monmouth	102.33	5.9	0.0	bringing	86.17	13.91	1.8	programs	231.75	35.7	2.68	give	99.25	23.17	3.93	summit	115.15	12.97	0.99	cleveland	80.8	7.91	0.11	state	50.5	91.8	54.48	voter	44.2	6.72	0.87	harrisburg	109.99	6.31	0.0	ocean	99.41	9.38	0.18	floodwater	99.91	5.38	0.0	ag	73.56	10.46	1.04	chattanooga	207.56	11.8	0.01	god	92.62	11.22	1.04	pierpont	55.67	3.31	0.0	economic	44.21	21.77	6.9	commonwealth	120.47	22.07	1.73	paid	71.55	9.81	0.96	youtube	182.11	51.55	0.99	pre-existing	111.56	5.87	0.01	ranch	89.99	10.37	0.21
huntsville	59.64	2.95	0.0	watch	105.81	52.9	16.66	highlighted	202.55	16.28	0.33	provide	206.34	51.58	9.42	twitter	80.38	21.25	1.6	durango	45.34	2.33	0.0	delay	288.28	20.63	0.39	castle	104.42	7.57	0.05	tallahassee	78.85	4.57	0.0	savannah	98.97	5.5	0.05	kauai	147.19	8.11	0.0	dave	101.58	9.5	0.24	fight	130.91	35.92	7.08	hour	243.34	31.28	0.65	hubbell	105.31	6.62	0.0	questions	66.09	17.26	3.86	beautify	78.77	4.55	0.0	hospitalizations	129.69	22.13	1.43	herald	68.86	7.94	0.05	violent	72.47	9.59	0.59	polito	120.9	6.2	0.0	potholes	30.9	9.7	0.01	accountability	52.13	7.81	0.85	wicker	97.52	4.91	0.0	our	74.59	146.15	88.55	we	75.54	129.98	79.26	taylor	160.39	14.1	0.24	face	73.22	23.0	5.76	main	126.94	13.58	0.51	tammy	95.78	6.81	0.05	build	80.4	16.05	2.73	website	230.35	34.25	2.4	stream	96.06	15.17	1.49	kathryn	110.76	6.14	0.04	theo	80.28	6.21	0.02	proactive	47.5	5.3	0.28	pendleton	43.61	2.02	0.0	mask	94.62	31.09	7.05	uri	96.46	5.92	0.0	tweet	99.46	77.36	33.27	pheasant	68.16	3.74	0.01	today	176.86	120.93	48.27	respond	86.04	12.21	1.46	multicultural	49.68	3.31	0.01	stowe	39.14	2.22	0.0	candidate	112.84	24.33	2.52	reproductive	63.39	5.82	0.25	twitter	157.92	51.55	1.52	westergaard	104.23	5.14	0.0	terrific	87.92	10.98	0.29
